rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,total,gap
84,3090,Andreia Almeida,35-39,AmoraSub/Associação Naval Amorense,00:16:06,00:01:44,00:49:17,00:00:47,00:34:59,01:42:53,00:42:11
85,5222,Suzi Steinhofel,65-69,Louletano,00:20:04,00:03:22,00:48:55,00:00:40,00:31:28,01:44:29,00:43:47
DNF,3674,Mariana Correia,20-24,Clube de Natação de Torres Novas,00:10:06,,,,,DNF,
DNF,3150,Cristiana Martins,25-29,Lusitano / Frusoal,00:12:11,,,,,DNF,
DNF,2209,Inês Reis,JUN,Clube de Natação de Torres Novas,,,,,,DNF,
DNS,2276,Ana Francisca Moreira,JUN,Sport Lisboa e Benfica,,,,,,DNS,
DNS,3529,Gabriela Ribeiro,20-24,Alhandra Sporting Club,,,,,,DNS,
DNS,2259,Inês Anastácio,JUN,Alhandra Sporting Club,,,,,,DNS,
DNS,2285,Maria Gonçalves,JUN,Clube de Triatlo do Fundão,,,,,,DNS,
DNS,5042,Elaine Holmes,50-54,CNATRIL Triatlo,,,,,,DNS,
DNS,5788,Cinara Martins,40-44,Fc Ferreiras,,,,,,DNS,
DNS,3179,Mariana Cabrita,30-34,Fc Ferreiras,,,,,,DNS,
DNS,5240,Jocelyn McCall Ferreira,40-44,Individual,,,,,,DNS,
