rank,raceNumber,name,ageGroup,team,swim,t1,bike,t2,run,total,gap
DNF,3250,Miguel Almeida,25-29,Individual,00:10:31,00:00:46,00:31:45,00:00:13,,DNF,
DNF,1506,Rafael Santos,CAD,SFRAA TRIATLO,00:10:48,,,,,DNF,
DNF,1902,Manel Bartolomeu,CAD,Clube de Natação de Torres Novas,00:09:01,,,,,DNF,
DNF,1898,João Gonçalves,CAD,TRIATLO - Santo André Sport Club,,,,,,DNF,
DNF,5170,Hugo Gaudêncio,45-49,REPSOL TRIATLO,,,,,,DNF,
DNS,5676,Gonçalo Almeida,40-44,Alhandra Sporting Club,,,,,,DNS,
DNS,2840,Hugo Figueiredo,20-24,Sporting Clube de Portugal,,,,,,DNS,
DNS,3893,Gabriel Garrido,20-24,Triatlo de Faro,,,,,,DNS,
DNS,4703,Henrique Matias,45-49,CNATRIL Triatlo,,,,,,DNS,
DNS,3200,Luiz Felipe Monteiro,35-39,Individual,,,,,,DNS,
DNS,5462,Miguel San-Payo,60-64,Individual,,,,,,DNS,
DNS,5606,Bernardo Pessoa,40-44,Louletano,,,,,,DNS,
DNS,4426,José Alberto Marcos,55-59,Louletano,,,,,,DNS,
DNS,3105,Manuel Casado,20-24,Louletano,,,,,,DNS,
DNS,3994,Roberto Elvira,35-39,Lusitano / Frusoal,,,,,,DNS,
DNS,5190,Bruno Pereira,45-49,Outsystems Olímpico de Oeiras,,,,,,DNS,
DNS,4429,Pedro Silva Santos,45-49,Outsystems Olímpico de Oeiras,,,,,,DNS,
DNS,1865,Tomás Sousa,CAD,Outsystems Olímpico de Oeiras,,,,,,DNS,
